color,color_hue,color_sat,color_bri,013101_DSC03544.png,percentage
-16514043,170.0,51.0,5.0,278993,35.48
-16448503,178.5,141.66667,9.0,271293,34.50
-15988215,14.166666,63.75,12.0,68356,08.69
-16119546,31.875,102.0,10.0,33709,04.29
-15594230,15.9375,113.333336,18.0,25776,03.28
-16316413,51.0,159.375,8.0,21770,02.77
-16185591,212.5,56.666668,9.0,21789,02.77
-16185595,21.25,113.333336,9.0,18375,02.34
-15461875,30.357143,89.25,20.0,12085,01.54
-15595001,11.590908,155.83333,18.0,5968,00.76
-16316151,127.5,56.666668,9.0,5548,00.71
-15068147,22.884617,127.5,26.0,4440,00.56
-15067887,18.888887,88.26923,26.0,2698,00.34
-15069685,8.499999,147.11539,26.0,2549,00.32
-14870254,27.045454,96.72414,29.0,1685,00.21
-15396079,21.25,48.57143,21.0,1543,00.20
-14478836,11.086957,167.57143,35.0,1173,00.15
-14541805,25.5,112.5,34.0,826,00.11
-14870258,31.166666,131.89655,29.0,798,00.10
-13954034,8.793103,171.97675,43.0,673,00.09
-14146536,31.875,102.0,40.0,611,00.08
-15070202,12.75,196.15385,26.0,604,00.08
-15596026,0.0,170.0,18.0,505,00.06
-15265019,33.055553,199.56522,23.0,468,00.06
-13231598,9.444444,170.0,54.0,375,00.05
-13358309,27.199999,122.59615,52.0,323,00.04
-15593711,226.66667,42.5,18.0,278,00.04
-15066343,63.75,18.88889,27.0,277,00.04
-13028318,33.260868,102.89474,57.0,209,00.03
-13363443,10.897435,191.25,52.0,268,00.03
-14342364,70.833336,19.615385,39.0,201,00.03
-6120597,37.090908,86.57407,162.0,147,00.02
-13618131,66.78571,34.326923,52.0,118,00.02
-12376553,14.488635,167.46268,67.0,132,00.02
-14479862,6.800001,182.14287,35.0,169,00.02
-14476790,27.199999,182.14287,35.0,152,00.02
-14084846,5.5434794,143.04878,41.0,177,00.02
-13423599,33.749996,170.0,51.0,105,00.01
-11295251,147.37013,165.6962,237.0,41,00.01
-16246996,152.29167,208.63637,44.0,68,00.01
-10660561,35.108696,126.129036,93.0,90,00.01
-1844317,37.1875,71.89427,227.0,99,00.01
-922958,37.77778,66.65975,241.0,103,00.01
-265018,36.88679,53.844624,251.0,69,00.01
-2897003,37.01613,74.92891,211.0,82,00.01
-9935545,38.63636,80.91346,104.0,110,00.01
-15135468,230.20834,122.399994,25.0,42,00.01
-16053486,170.0,99.16667,18.0,89,00.01
-6417889,251.05357,225.94937,158.0,62,00.01
-11201259,0.0,192.0,85.0,79,00.01
-12958917,89.72222,34.253735,67.0,37,00.00
-15855347,74.375,60.0,17.0,28,00.00
-14802656,113.333336,23.181818,33.0,30,00.00
-13563378,250.64102,202.95918,49.0,30,00.00
-15453092,151.1111,199.56522,92.0,19,00.00
-680638,21.606144,186.30612,245.0,16,00.00
-4476026,36.084904,72.27273,187.0,33,00.00
-13079127,150.06636,170.50296,169.0,21,00.00
-1398879,3.49315,79.551285,234.0,8,00.00
-12017947,146.71974,174.82532,229.0,30,00.00
-692090,247.96992,138.42857,245.0,14,00.00
-3714490,3.9534876,165.30151,199.0,39,00.00
-666166,10.872093,44.7551,245.0,7,00.00
-14728339,150.38463,182.47707,109.0,20,00.00
